epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,158.898,0.40675,0.69435,1.08582,0.98919,0.8,0.93786,0.76662,0.78516,1.53537,1.67084,0.0005876,0.0005876,0.0005876
109,159.904,0.37582,0.70375,1.04303,0.99014,0.8,0.96167,0.78167,0.76389,1.51095,1.65406,0.0005744,0.0005744,0.0005744
110,160.892,0.42968,0.71537,1.16029,0.99014,0.8,0.96167,0.78167,0.76389,1.51095,1.65406,0.0005612,0.0005612,0.0005612
111,162.058,0.41709,0.6799,1.0663,1,0.98637,0.995,0.805,0.72682,1.46452,1.60737,0.000548,0.000548,0.000548
112,163.215,0.37487,0.70298,1.0664,1,0.98637,0.995,0.805,0.72682,1.46452,1.60737,0.0005348,0.0005348,0.0005348
113,164.412,0.47103,0.80834,1.12291,1,0.98637,0.995,0.805,0.72682,1.46452,1.60737,0.0005216,0.0005216,0.0005216
114,165.597,0.3951,0.72109,1.06312,1,0.98654,0.995,0.855,0.64956,1.46401,1.52536,0.0005084,0.0005084,0.0005084
115,166.782,0.47243,0.69109,1.11327,1,0.98654,0.995,0.855,0.64956,1.46401,1.52536,0.0004952,0.0004952,0.0004952
116,167.987,0.42346,0.69425,1.1135,1,0.98798,0.995,0.815,0.68022,1.49729,1.52728,0.000482,0.000482,0.000482
117,169.17,0.34362,0.71534,1.07083,1,0.98798,0.995,0.815,0.68022,1.49729,1.52728,0.0004688,0.0004688,0.0004688
118,170.328,0.41643,0.71591,1.06682,1,0.98901,0.995,0.795,0.71278,1.47021,1.54844,0.0004556,0.0004556,0.0004556
119,171.525,0.35582,0.6439,1.00425,1,0.98901,0.995,0.795,0.71278,1.47021,1.54844,0.0004424,0.0004424,0.0004424
120,172.634,0.45081,0.71854,1.11663,1,0.98901,0.995,0.795,0.71278,1.47021,1.54844,0.0004292,0.0004292,0.0004292
121,173.86,0.40851,0.71061,1.06618,1,0.98907,0.995,0.795,0.73212,1.47525,1.57687,0.000416,0.000416,0.000416
122,174.928,0.36222,0.67789,1.0975,1,0.98907,0.995,0.795,0.73212,1.47525,1.57687,0.0004028,0.0004028,0.0004028
123,175.97,0.42401,0.69129,1.04092,1,0.986,0.995,0.762,0.70069,1.5215,1.5789,0.0003896,0.0003896,0.0003896
124,177.134,0.38842,0.68736,1.06276,1,0.986,0.995,0.762,0.70069,1.5215,1.5789,0.0003764,0.0003764,0.0003764
125,178.365,0.44758,0.7369,1.14023,1,0.98374,0.995,0.74525,0.71565,1.52634,1.60676,0.0003632,0.0003632,0.0003632
126,179.332,0.43442,0.68259,1.06361,1,0.98374,0.995,0.74525,0.71565,1.52634,1.60676,0.00035,0.00035,0.00035
127,180.279,0.3909,0.66517,1.04562,1,0.98374,0.995,0.74525,0.71565,1.52634,1.60676,0.0003368,0.0003368,0.0003368
128,181.155,0.39994,0.74371,1.08973,1,0.98408,0.995,0.74525,0.71292,1.49275,1.6142,0.0003236,0.0003236,0.0003236
129,182.172,0.34391,0.69215,1.02719,1,0.98408,0.995,0.74525,0.71292,1.49275,1.6142,0.0003104,0.0003104,0.0003104
130,183.253,0.35829,0.62896,0.98909,1,0.98507,0.995,0.76525,0.69731,1.45578,1.61664,0.0002972,0.0002972,0.0002972
131,184.241,0.3794,0.7178,1.03099,1,0.98507,0.995,0.76525,0.69731,1.45578,1.61664,0.000284,0.000284,0.000284
132,185.251,0.34736,0.66294,1.05339,1,0.98599,0.995,0.7555,0.72929,1.42905,1.63092,0.0002708,0.0002708,0.0002708
133,186.372,0.46271,0.74621,1.18172,1,0.98599,0.995,0.7555,0.72929,1.42905,1.63092,0.0002576,0.0002576,0.0002576
134,187.543,0.32275,0.62605,1.08513,1,0.98599,0.995,0.7555,0.72929,1.42905,1.63092,0.0002444,0.0002444,0.0002444
135,188.713,0.39609,0.82497,1.09161,1,0.98589,0.995,0.775,0.70653,1.36513,1.59897,0.0002312,0.0002312,0.0002312
136,189.917,0.34303,0.60248,1.04456,1,0.98589,0.995,0.775,0.70653,1.36513,1.59897,0.000218,0.000218,0.000218
137,191.16,0.38247,0.72117,1.11117,1,0.9876,0.995,0.805,0.68784,1.32188,1.5622,0.0002048,0.0002048,0.0002048
138,192.355,0.34618,0.71831,1.11112,1,0.9876,0.995,0.805,0.68784,1.32188,1.5622,0.0001916,0.0001916,0.0001916
139,193.556,0.35894,0.67985,1.05923,1,0.98968,0.995,0.805,0.65735,1.29047,1.52361,0.0001784,0.0001784,0.0001784
140,194.74,0.38678,0.71749,1.15133,1,0.98968,0.995,0.805,0.65735,1.29047,1.52361,0.0001652,0.0001652,0.0001652
141,199.71,0.55547,1.74418,1.24013,1,0.98968,0.995,0.805,0.65735,1.29047,1.52361,0.000152,0.000152,0.000152
142,200.806,0.57815,1.91441,1.28227,1,0.99055,0.995,0.835,0.66858,1.26114,1.53798,0.0001388,0.0001388,0.0001388
143,201.829,0.48927,1.64185,1.1644,1,0.99055,0.995,0.835,0.66858,1.26114,1.53798,0.0001256,0.0001256,0.0001256
144,202.839,0.44599,1.53035,1.19267,1,0.99067,0.995,0.81509,0.67524,1.25269,1.53148,0.0001124,0.0001124,0.0001124
145,203.832,0.4072,1.54414,1.17878,1,0.99067,0.995,0.81509,0.67524,1.25269,1.53148,9.92e-05,9.92e-05,9.92e-05
146,204.915,0.71337,1.93612,1.442,1,0.99065,0.995,0.8151,0.69005,1.24958,1.55361,8.6e-05,8.6e-05,8.6e-05
147,205.987,0.29054,1.44007,1.00558,1,0.99065,0.995,0.8151,0.69005,1.24958,1.55361,7.28e-05,7.28e-05,7.28e-05
148,207.014,0.43543,1.54292,1.18802,1,0.99065,0.995,0.8151,0.69005,1.24958,1.55361,5.96e-05,5.96e-05,5.96e-05
149,208.036,0.38196,1.43475,1.20731,1,0.99038,0.995,0.8152,0.69426,1.24796,1.55314,4.64e-05,4.64e-05,4.64e-05
150,209.036,0.48605,1.36535,1.18472,1,0.99038,0.995,0.8152,0.69426,1.24796,1.55314,3.32e-05,3.32e-05,3.32e-05
